# p00 p10 p01 p11 rho0
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.97027792 0.00000000 0.00121669 0.02850539 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
0.96585314 0.00117060 0.00727204 0.02570422 0.00000000
