# p00 p10 p01 p11 rho0
0.00268071 0.00001323 0.98377336 0.01353270 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00407898 0.00000088 0.98156200 0.01435814 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00108187 0.00000054 0.98426414 0.01465344 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00145305 0.00000000 0.98380140 0.01474556 0.00000000
0.00080304 0.00002042 0.98386799 0.01530855 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00170057 0.00000003 0.98358000 0.01471940 0.00000000
0.00261676 0.00000991 0.98220755 0.01516579 0.00000000
0.00261676 0.00000991 0.98220755 0.01516579 0.00000000
0.00261676 0.00000991 0.98220755 0.01516579 0.00000000
0.00261676 0.00000991 0.98220755 0.01516579 0.00000000
0.00261676 0.00000991 0.98220755 0.01516579 0.00000000
0.00388984 0.00000004 0.98150481 0.01460531 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
0.00412596 0.00000104 0.98092294 0.01495006 0.00000000
